Player,Position,Age,Team,2025 AAV,Free Agent Type,2024 Salary
,,Ben Gamel,RF,1,"$1,200,000","$1,200,000"
,,Tim Mayza,RP,1,"$1,150,000","$1,150,000"
,,Luis Urias,3B,1,"$1,100,000","$1,100,000"
,,Patrick Corbin,SP/SP2,1,"$1,100,000","$1,100,000"
,,Bryse Wilson,RP/SU7,1,"$1,050,000","$1,050,000"
,,Jason Heyward,RF/CF,1,"$1,000,000","$1,000,000"
,,Paul DeJong,SS,1,"$1,000,000","$1,000,000"
,,Connor Joe,LF/RF,1,"$1,000,000","$1,000,000"
,,José Urquidy,SP/SP5,1,"$1,000,000","$1,000,000"
,,Ty France,1B,1,"$1,000,000","$1,000,000"
,,Drew Smith,RP,1,"$1,000,000","$1,000,000"
,,John Means,SP/SP1,1,"$1,000,000","$1,000,000"
,,Dylan Carlson,CF,1,"$975,000","$975,000"
,,Elvin Rodriguez,SP,1,"$900,000","$900,000"
,,Bryan De La Cruz,LF,1,"$860,000","$860,000"
,,Nicky Lopez,SS,1,"$850,000","$850,000"
,,Justin Hagenman,SP,1,"$850,000","$850,000"
,,Dylan Covey,RP,1,"$850,000","$850,000"
,,Connor Gillispie,RP,1,"$820,000","$820,000"
,,José Ureña,RP,0,$0,
,,Carlos D. Rodriguez,OF,0,$0,
,,Adam Ottavino,RP/SU8,0,$0,
,,Luis Curvelo,RP,0,$0,
,,Eric Wagaman,1B,1,$0,$0
,,Andrew Chafin,RP/CL,0,$0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
